Название исходного файла;Название отфильтрованного файла;Размер Файла;Метод фильтрации;Среднее отклонение;Сходство с оригиналом
./Date/1.pgm;./rezalts/noisy_100_1.pgm;934x616;Шумовые пиксели: 100;N/A;N/A
./Date/1.pgm;./rezalts/med3_1.pgm;934x616;Медианный 3x3;18,318682;92,816203%
./Date/1.pgm;./rezalts/med5_1.pgm;934x616;Медианный 5x5;19,429515;92,380582%
./Date/1.pgm;./rezalts/med7_1.pgm;934x616;Медианный 7x7;19,981846;92,163982%
./Date/2.pgm;./rezalts/noisy_100_2.pgm;1239x839;Шумовые пиксели: 100;N/A;N/A
./Date/2.pgm;./rezalts/med3_2.pgm;1239x839;Медианный 3x3;4,355589;98,291926%
./Date/2.pgm;./rezalts/med5_2.pgm;1239x839;Медианный 5x5;5,314791;97,915768%
./Date/2.pgm;./rezalts/med7_2.pgm;1239x839;Медианный 7x7;5,858102;97,702705%
./Date/3.pgm;./rezalts/noisy_100_3.pgm;736x981;Шумовые пиксели: 100;N/A;N/A
./Date/3.pgm;./rezalts/med3_3.pgm;736x981;Медианный 3x3;21,909845;91,407904%
./Date/3.pgm;./rezalts/med5_3.pgm;736x981;Медианный 5x5;23,415398;90,817491%
./Date/3.pgm;./rezalts/med7_3.pgm;736x981;Медианный 7x7;23,884767;90,633425%
./Date/4.pgm;./rezalts/noisy_100_4.pgm;675x1200;Шумовые пиксели: 100;N/A;N/A
./Date/4.pgm;./rezalts/med3_4.pgm;675x1200;Медианный 3x3;3,588558;98,592722%
./Date/4.pgm;./rezalts/med5_4.pgm;675x1200;Медианный 5x5;10,355148;95,939158%
./Date/4.pgm;./rezalts/med7_4.pgm;675x1200;Медианный 7x7;18,380991;92,791768%
./Date/5.pgm;./rezalts/noisy_100_5.pgm;1200x750;Шумовые пиксели: 100;N/A;N/A
./Date/5.pgm;./rezalts/med3_5.pgm;1200x750;Медианный 3x3;30,296849;88,118883%
./Date/5.pgm;./rezalts/med5_5.pgm;1200x750;Медианный 5x5;33,746173;86,766207%
./Date/5.pgm;./rezalts/med7_5.pgm;1200x750;Медианный 7x7;34,899958;86,313742%
